Index,C2,C4,VDD,RL,EFFICIENCY,POWER OUT,PAE,THD
40262,2.2080808080808082e-10,5.867171717171718e-10,10,100,1.707787149210244,0.278412,-1.5037754945560495,13.579612
40263,2.2080808080808082e-10,5.925252525252525e-10,10,100,1.6949758276727251,0.276976,-1.5090447341043995,13.500965
40264,2.2080808080808082e-10,5.983333333333333e-10,10,100,1.6826304895992967,0.275593,-1.5145280150439295,13.426533
40265,2.2080808080808082e-10,6.041414141414142e-10,10,100,1.6702187939827084,0.274128,-1.5200424061854538,13.355922
40266,2.2080808080808082e-10,6.09949494949495e-10,10,100,1.6565124581131296,0.272382,-1.5280938509161897,13.286425
40267,2.2080808080808082e-10,6.157575757575757e-10,10,100,1.644196052016773,0.270952,-1.5337362630694262,13.2206
40268,2.2080808080808082e-10,6.215656565656566e-10,10,100,1.6312933081358727,0.26932,-1.5410549013907064,13.155627
40269,2.2080808080808082e-10,6.273737373737374e-10,10,100,1.6198115886856528,0.268061,-1.5450029911353629,13.085582
40270,2.2080808080808082e-10,6.331818181818182e-10,10,100,1.6070623002231472,0.266467,-1.551770098305289,13.01526
40271,2.2080808080808082e-10,6.38989898989899e-10,10,100,1.5949254342148025,0.265016,-1.5575582864914967,12.961185
40272,2.2080808080808082e-10,6.447979797979798e-10,10,100,1.5831371324236017,0.263586,-1.5633588794926003,12.901691
40273,2.2080808080808082e-10,6.506060606060607e-10,10,100,1.5718532725964993,0.262248,-1.5679872932150563,12.837696
40274,2.2080808080808082e-10,6.564141414141414e-10,10,100,1.560319406645333,0.260862,-1.5726829560068192,12.773916
40275,2.2080808080808082e-10,6.622222222222222e-10,10,100,1.5490503873655561,0.259531,-1.5777058886726907,12.72469
40276,2.2080808080808082e-10,6.680303030303031e-10,10,100,1.5373733523143542,0.258105,-1.5832315783830793,12.660477
40277,2.2080808080808082e-10,6.738383838383838e-10,10,100,1.5254453985395207,0.256525,-1.5897695107157297,12.620783
40278,2.2080808080808082e-10,6.796464646464647e-10,10,100,1.5145074584356863,0.255246,-1.5941709091340621,12.559858
40279,2.2080808080808082e-10,6.854545454545455e-10,10,100,1.5033879833206976,0.25382,-1.5997855856709633,12.507517
40280,2.2080808080808082e-10,6.912626262626262e-10,10,100,1.4925487831551072,0.25249,-1.6046155574077687,12.474775
40281,2.2080808080808082e-10,6.970707070707071e-10,10,100,1.481595978784786,0.251132,-1.6099728025203393,12.411984
40282,2.2080808080808082e-10,7.028787878787879e-10,10,100,1.4715360017902255,0.249883,-1.6141651600897466,12.364812
40283,2.2080808080808082e-10,7.086868686868686e-10,10,100,1.4608358314230292,0.248532,-1.6193499088931997,12.317677
40284,2.2080808080808082e-10,7.144949494949495e-10,10,100,1.4507162886743088,0.247292,-1.623399936642771,12.27224
