Index,C2,C4,VDD,RL,EFFICIENCY,POWER OUT,PAE,THD
1,2.15e-10,2.15e-10,10,25,11.207868155236577,1.58115,7.51209640262272,30.452083
2,2.15e-10,2.2080808080808082e-10,10,25,11.054179183601342,1.56389,7.367124933733874,29.668777
3,2.15e-10,2.2661616161616163e-10,10,25,10.904079071669274,1.5467,7.226365212977454,28.948485
4,2.15e-10,2.3242424242424244e-10,10,25,10.769441613662718,1.53233,7.101732438415855,28.237473
5,2.15e-10,2.3823232323232323e-10,10,25,10.634264288467604,1.51735,6.977313662963872,27.575487
6,2.15e-10,2.4404040404040407e-10,10,25,10.499035342802818,1.50195,6.850275416620064,26.941025
7,2.15e-10,2.4984848484848486e-10,10,25,10.369347697242269,1.48712,6.72981905658404,26.36123
8,2.15e-10,2.5565656565656564e-10,10,25,10.238038926529306,1.4718,6.60633147372668,25.786855
9,2.15e-10,2.614646464646465e-10,10,25,10.116226624570656,1.4579,6.492620476702633,25.261844
10,2.15e-10,2.6727272727272727e-10,10,25,10.001037918627178,1.44535,6.38766260725159,24.739383
11,2.15e-10,2.730808080808081e-10,10,25,9.883769084232902,1.432,6.279133651748984,24.245433
12,2.15e-10,2.788888888888889e-10,10,25,9.767520331641611,1.41841,6.171281599261794,23.781718
13,2.15e-10,2.8469696969696973e-10,10,25,9.658971488230566,1.40624,6.071640027749349,23.340119
14,2.15e-10,2.905050505050505e-10,10,25,9.550961393506654,1.39381,5.972049008455877,22.910994
15,2.15e-10,2.963131313131313e-10,10,25,9.445834187683685,1.38202,5.875900485271,22.505399
16,2.15e-10,3.0212121212121214e-10,10,25,9.347929816907746,1.37136,5.787480743275483,22.114406
17,2.15e-10,3.0792929292929293e-10,10,25,9.239250950596206,1.35829,5.685612836959997,21.75297
18,2.15e-10,3.1373737373737376e-10,10,25,9.141565958486291,1.34722,5.596418611278865,21.394568
19,2.15e-10,3.1954545454545455e-10,10,25,9.050438878474313,1.33732,5.514513105445882,21.042822
20,2.15e-10,3.253535353535354e-10,10,25,8.957721568548033,1.32697,5.43048664411997,20.713183
21,2.15e-10,3.311616161616162e-10,10,25,8.864986462276223,1.31622,5.345629537831539,20.400689
22,2.15e-10,3.3696969696969696e-10,10,25,8.774902740729294,1.30596,5.263893461623743,20.103777
23,2.15e-10,3.427777777777778e-10,10,25,8.688576235513343,1.29624,5.185838097983096,19.808934
24,2.15e-10,3.485858585858586e-10,10,25,8.604574966734202,1.28684,5.110355526134548,19.520461
25,2.15e-10,3.5439393939393937e-10,10,25,8.51834063756979,1.27701,5.032425473441262,19.253283
26,2.15e-10,3.602020202020202e-10,10,25,8.433760598437354,1.26724,4.955476580281914,18.999754
27,2.15e-10,3.6601010101010105e-10,10,25,8.345939556535425,1.25679,4.8752747581132505,18.756847
28,2.15e-10,3.7181818181818184e-10,10,25,8.262333101414704,1.24691,4.79882052811185,18.521394
29,2.15e-10,3.776262626262626e-10,10,25,8.182166826462128,1.23743,4.7259033953780545,18.289822
30,2.15e-10,3.8343434343434346e-10,10,25,8.099200274493242,1.22745,4.650126689189189,18.07295
31,2.15e-10,3.8924242424242425e-10,10,25,8.025764068537425,1.21925,4.584608700803728,17.855876
32,2.15e-10,3.9505050505050503e-10,10,25,7.954139525110317,1.21132,4.521643202353435,17.643557
33,2.15e-10,4.0085858585858587e-10,10,25,7.882103221917952,1.20314,4.457488764560214,17.433616
34,2.15e-10,4.066666666666667e-10,10,25,7.809251729142424,1.19455,4.391773335250971,17.243571
35,2.15e-10,4.124747474747475e-10,10,25,7.7419417944220195,1.18725,4.332839918358297,17.046918
36,2.15e-10,4.182828282828283e-10,10,25,7.670529596637234,1.17883,4.26791512398899,16.865292
37,2.15e-10,4.240909090909091e-10,10,25,7.602532056484336,1.17098,4.207700048693393,16.684921
38,2.15e-10,4.298989898989899e-10,10,25,7.536888059798168,1.16359,4.14981928413198,16.508123
39,2.15e-10,4.357070707070707e-10,10,25,7.471916648353778,1.15604,4.092439147351956,16.342224
40,2.15e-10,4.4151515151515153e-10,10,25,7.404574244398292,1.14802,4.031372144322184,16.180428
41,2.15e-10,4.4732323232323237e-10,10,25,7.3354231974921635,1.13958,3.9683688116740585,16.029039
42,2.15e-10,4.531313131313131e-10,10,25,7.270858757787911,1.132,3.9111696319609472,15.874666
43,2.15e-10,4.5893939393939394e-10,10,25,7.208376600899966,1.12455,3.8562491186236425,15.72756
44,2.15e-10,4.647474747474748e-10,10,25,7.143067346507924,1.11654,3.79679613079054,15.591911
45,2.15e-10,4.705555555555556e-10,10,25,7.082186795717324,1.10929,3.743007450632379,15.452163
46,2.15e-10,4.763636363636364e-10,10,25,7.018683013241235,1.10147,3.6858615723807455,15.323003
47,2.15e-10,4.821717171717172e-10,10,25,6.956635119320205,1.09375,3.6301200834478196,15.19528
48,2.15e-10,4.87979797979798e-10,10,25,6.897727056344376,1.08673,3.577490177659014,15.067375
