time	Ix(U1:drainin)
3.845144463476244e-008	-4.741755e-001
3.857259496978776e-008	-2.029954e-001
3.870652042625841e-008	8.913854e-002
3.888249934764000e-008	4.416811e-001
3.906864835383442e-008	7.685056e-001
3.936830446423865e-008	1.236709e+000
3.965583585991103e-008	1.666225e+000
3.971179700840864e-008	1.749086e+000
3.982371930540386e-008	1.913658e+000
3.999999999999962e-008	2.178194e+000
4.000029999999944e-008	1.973573e+000
4.000069999999919e-008	1.731805e+000
4.000099999999901e-008	1.566907e+000
4.000123999999988e-008	1.621893e+000
4.000155999999935e-008	1.683133e+000
4.000219999999828e-008	1.773759e+000
4.000347999999784e-008	1.879861e+000
4.000603999999696e-008	1.966355e+000
4.001115999999351e-008	2.010018e+000
4.002355299844165e-008	2.032397e+000
4.003594599688978e-008	2.055429e+000
4.004833899533791e-008	2.079114e+000
4.006073199378604e-008	2.103453e+000
4.007312499223417e-008	2.128446e+000
4.008551799068230e-008	2.154093e+000
4.009791098913044e-008	2.180393e+000
4.011611491436492e-008	2.234293e+000
4.013870910245834e-008	2.352293e+000
4.017047627102355e-008	2.729398e+000
4.020509794179499e-008	3.710305e+000
4.024826815513347e-008	5.891276e+000
4.028822876850572e-008	8.264572e+000
4.034122155231015e-008	1.066888e+001
4.036258697929215e-008	1.080320e+001
4.038416622674650e-008	1.009375e+001
4.041374462922473e-008	8.666929e+000
4.044268426774701e-008	7.254548e+000
4.046358255694799e-008	6.406949e+000
4.047795805131723e-008	5.996269e+000
4.049362913722987e-008	5.717159e+000
4.051350423090514e-008	5.519296e+000
4.053187315050735e-008	5.439854e+000
4.055411304906435e-008	5.420321e+000
4.057780986578832e-008	5.438940e+000
4.061174663080251e-008	5.492828e+000
4.065249201250085e-008	5.572513e+000
4.071397626537052e-008	5.704926e+000
4.078475604219396e-008	5.864887e+000
4.087977304688677e-008	6.084412e+000
4.098705642063885e-008	6.333099e+000
4.113257455549365e-008	6.667221e+000
4.130081986024289e-008	7.044949e+000
4.153148228966325e-008	7.544125e+000
4.180394728224937e-008	8.100162e+000
4.218760811357625e-008	8.818293e+000
4.258760811357544e-008	9.482263e+000
4.298760811357462e-008	1.004603e+001
4.338760811357380e-008	1.050102e+001
4.378760811357299e-008	1.084118e+001
4.418760811357217e-008	1.106219e+001
4.458760811357135e-008	1.119120e+001
