  Time                 , I(U1:DRAININ)        
  7.901021167886e-06  ,7.193456086419e+00  
  7.901031167962e-06  ,7.217074502699e+00  
  7.901041168038e-06  ,7.240671366948e+00  
  7.901051168114e-06  ,7.264245313153e+00  
  7.901061168190e-06  ,7.287795058520e+00  
  7.901071168266e-06  ,7.311319396410e+00  
  7.901081168343e-06  ,7.334817189958e+00  
  7.901091168419e-06  ,7.358287366329e+00  
  7.901101168495e-06  ,7.381728911512e+00  
  7.901111168571e-06  ,7.405140865619e+00  
  7.901121168647e-06  ,7.428522318610e+00  
  7.901131168723e-06  ,7.451872406420e+00  
  7.901141168799e-06  ,7.475190307436e+00  
  7.901151168876e-06  ,7.498475239289e+00  
  7.901161168952e-06  ,7.521726455928e+00  
  7.901171169028e-06  ,7.544943244951e+00  
  7.901181169104e-06  ,7.568124925167e+00  
  7.901191169180e-06  ,7.591270844365e+00  
  7.901201169256e-06  ,7.614380377266e+00  
  7.901211169333e-06  ,7.637452923653e+00  
  7.901221169409e-06  ,7.660487906647e+00  
  7.901231169485e-06  ,7.683484771131e+00  
  7.901241169561e-06  ,7.706442982286e+00  
  7.901251169637e-06  ,7.729362024262e+00  
  7.901261169713e-06  ,7.752241398938e+00  
  7.901271169789e-06  ,7.775080624781e+00  
  7.901281169866e-06  ,7.797879235800e+00  
  7.901291169942e-06  ,7.820636780569e+00  
  7.901301170018e-06  ,7.843352821330e+00  
  7.901311170094e-06  ,7.866026933158e+00  
  7.901321170170e-06  ,7.888658703192e+00  
  7.901331170246e-06  ,7.911247729917e+00  
  7.901341170322e-06  ,7.933793622501e+00  
  7.901351170399e-06  ,7.956296000176e+00  
  7.901361170475e-06  ,7.978754491665e+00  
  7.901371170551e-06  ,8.001168734649e+00  
  7.901381170627e-06  ,8.023538375270e+00  
  7.901391170703e-06  ,8.045863067665e+00  
  7.901401170779e-06  ,8.068142473538e+00  
  7.901411170855e-06  ,8.090376261755e+00  
  7.901421170932e-06  ,8.112564107966e+00  
  7.901431171008e-06  ,8.134705694258e+00  
